timestamp,portfolio_value,cash_balance
2025-04-13 17:33:59.479905,100000.0,
2025-04-13 17:36:24.933754,100000.0,
2025-04-13 17:36:47.119782,100000.0,
2025-04-13 17:36:55.475726,100000.0,
2025-04-13 17:37:10.014092,100000.0,
2025-04-13 17:37:16.680413,100000.0,
2025-04-13 17:41:31.395452,100000.0,
2025-04-13 17:43:17.772273,100000.0,
2025-04-13 17:44:05.914689,100000.0,
2025-04-13 17:44:15.199111,100000.0,
2025-04-13 17:44:27.528758,100000.0,
2025-04-13 17:44:42.931549,100000.0,
2025-04-13 17:44:48.861119,100000.0,
2025-04-13 17:45:08.229240,100000.0,
2025-04-13 17:45:16.457015,100000.0,
